model,task,variant,tv,p_mode,mode,n_valid,empirical
claude-sonnet-4.5,skewed_binary,V9,0.010000000000000009,0.71,alpha,200,"[0.71, 0.29]"
claude-sonnet-4.5,bimodal_5way,V0,0.24000000000000002,0.64,5,200,"[0.36, 0.0, 0.0, 0.0, 0.64]"
claude-sonnet-4.5,bimodal_5way,V7,0.6,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
claude-sonnet-4.5,bimodal_5way,V8,0.0,0.4,1,200,"[0.4, 0.1, 0.0, 0.1, 0.4]"
claude-sonnet-4.5,bimodal_5way,V9,0.02500000000000001,0.395,1,200,"[0.395, 0.125, 0.0, 0.095, 0.385]"
claude-sonnet-4.5,skewed_5way,V0,0.49999999999999994,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
claude-sonnet-4.5,skewed_5way,V7,0.49999999999999994,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
claude-sonnet-4.5,skewed_5way,V8,0.0,0.5,1,200,"[0.5, 0.2, 0.1, 0.1, 0.1]"
claude-sonnet-4.5,skewed_5way,V9,0.03500000000000002,0.52,1,200,"[0.52, 0.19, 0.115, 0.095, 0.08]"
llama-3.3-70b,uniform_digit,V0,0.7350000000000001,0.935,3,200,"[0.0, 0.0, 0.935, 0.065, 0.0]"
llama-3.3-70b,uniform_digit,V7,0.8,1.0,3,200,"[0.0, 0.0, 1.0, 0.0, 0.0]"
llama-3.3-70b,uniform_digit,V8,0.008333333333333331,0.20833333333333334,2,120,"[0.2, 0.20833333333333334, 0.2, 0.2, 0.19166666666666668]"
llama-3.3-70b,uniform_digit,V9,0.5,,,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
llama-3.3-70b,fair_coin,V0,0.26884422110552764,0.7688442211055276,H,199,"[0.7688442211055276, 0.23115577889447236]"
llama-3.3-70b,fair_coin,V7,0.5,1.0,H,1,"[1.0, 0.0]"
llama-3.3-70b,fair_coin,V8,0.0,0.5,H,60,"[0.5, 0.5]"
llama-3.3-70b,fair_coin,V9,0.020000000000000018,0.52,H,200,"[0.52, 0.48]"
llama-3.3-70b,skewed_binary,V0,0.14,0.84,alpha,200,"[0.84, 0.16]"
llama-3.3-70b,skewed_binary,V7,0.30000000000000004,1.0,alpha,200,"[1.0, 0.0]"
llama-3.3-70b,skewed_binary,V8,0.0,0.7,alpha,20,"[0.7, 0.3]"
llama-3.3-70b,skewed_binary,V9,0.5,,,0,"[0.0, 0.0]"
llama-3.3-70b,bimodal_5way,V0,0.6,1.0,5,200,"[0.0, 0.0, 0.0, 0.0, 1.0]"
llama-3.3-70b,bimodal_5way,V7,0.5599999999999999,0.96,1,200,"[0.96, 0.0, 0.0, 0.005, 0.035]"
llama-3.3-70b,bimodal_5way,V8,0.014999999999999986,0.415,5,200,"[0.385, 0.1, 0.0, 0.1, 0.415]"
llama-3.3-70b,bimodal_5way,V9,0.02500000000000001,0.395,1,200,"[0.395, 0.125, 0.0, 0.095, 0.385]"
llama-3.3-70b,skewed_5way,V0,0.63,0.745,2,200,"[0.04, 0.745, 0.185, 0.03, 0.0]"
llama-3.3-70b,skewed_5way,V7,0.49999999999999994,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
llama-3.3-70b,skewed_5way,V8,0.0,0.5,1,180,"[0.5, 0.2, 0.1, 0.1, 0.1]"
llama-3.3-70b,skewed_5way,V9,0.03500000000000002,0.52,1,200,"[0.52, 0.19, 0.115, 0.095, 0.08]"
gemini-3-flash,uniform_digit,V0,0.6,0.665,4,200,"[0.0, 0.0, 0.335, 0.665, 0.0]"
gemini-3-flash,uniform_digit,V7,0.7999999999999999,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
gemini-3-flash,uniform_digit,V8,0.0,0.2,1,200,"[0.2, 0.2, 0.2, 0.2, 0.2]"
gemini-3-flash,uniform_digit,V9,0.045,0.22,3,200,"[0.215, 0.18, 0.22, 0.21, 0.175]"
gemini-3-flash,fair_coin,V0,0.05500000000000002,0.555,H,200,"[0.555, 0.445]"
gemini-3-flash,fair_coin,V7,0.5,,,0,"[0.0, 0.0]"
gemini-3-flash,fair_coin,V8,0.0,0.5,H,200,"[0.5, 0.5]"
gemini-3-flash,fair_coin,V9,0.020000000000000018,0.52,H,200,"[0.52, 0.48]"
gemini-3-flash,skewed_binary,V0,0.29500000000000004,0.995,alpha,200,"[0.995, 0.005]"
gemini-3-flash,skewed_binary,V7,0.30000000000000004,1.0,alpha,200,"[1.0, 0.0]"
gemini-3-flash,skewed_binary,V8,0.0,0.7,alpha,200,"[0.7, 0.3]"
gemini-3-flash,skewed_binary,V9,0.010000000000000009,0.71,alpha,200,"[0.71, 0.29]"
gemini-3-flash,bimodal_5way,V0,0.31999999999999995,0.72,5,200,"[0.28, 0.0, 0.0, 0.0, 0.72]"
gemini-3-flash,bimodal_5way,V7,0.6,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
gemini-3-flash,bimodal_5way,V8,0.0,0.4,1,200,"[0.4, 0.1, 0.0, 0.1, 0.4]"
gemini-3-flash,bimodal_5way,V9,0.02500000000000001,0.395,1,200,"[0.395, 0.125, 0.0, 0.095, 0.385]"
gemini-3-flash,skewed_5way,V0,0.49,0.99,1,200,"[0.99, 0.005, 0.0, 0.005, 0.0]"
gemini-3-flash,skewed_5way,V7,0.49999999999999994,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
gemini-3-flash,skewed_5way,V8,0.0,0.5,1,200,"[0.5, 0.2, 0.1, 0.1, 0.1]"
gemini-3-flash,skewed_5way,V9,0.03500000000000002,0.52,1,200,"[0.52, 0.19, 0.115, 0.095, 0.08]"
deepseek-chat,uniform_digit,V0,0.63,0.83,3,200,"[0.025, 0.055, 0.83, 0.09, 0.0]"
deepseek-chat,uniform_digit,V7,0.45000000000000007,0.505,1,200,"[0.505, 0.015, 0.345, 0.13, 0.005]"
deepseek-chat,uniform_digit,V8,0.0,0.2,1,140,"[0.2, 0.2, 0.2, 0.2, 0.2]"
deepseek-chat,uniform_digit,V9,0.5,,,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
deepseek-chat,fair_coin,V0,0.45530726256983245,0.9553072625698324,H,179,"[0.9553072625698324, 0.0446927374301676]"
deepseek-chat,fair_coin,V7,0.3695652173913043,0.8695652173913043,H,23,"[0.8695652173913043, 0.13043478260869565]"
deepseek-chat,fair_coin,V8,0.0,0.5,H,200,"[0.5, 0.5]"
deepseek-chat,fair_coin,V9,0.020000000000000018,0.52,H,200,"[0.52, 0.48]"
deepseek-chat,skewed_binary,V0,0.30000000000000004,1.0,alpha,200,"[1.0, 0.0]"
deepseek-chat,skewed_binary,V7,0.29000000000000004,0.99,alpha,200,"[0.99, 0.01]"
deepseek-chat,skewed_binary,V8,0.0,0.7,alpha,40,"[0.7, 0.3]"
deepseek-chat,skewed_binary,V9,0.5,,,0,"[0.0, 0.0]"
deepseek-chat,bimodal_5way,V0,0.21999999999999997,0.475,1,200,"[0.475, 0.01, 0.055, 0.19, 0.27]"
deepseek-chat,bimodal_5way,V7,0.59,0.99,1,200,"[0.99, 0.0, 0.0, 0.0, 0.01]"
deepseek-chat,bimodal_5way,V8,0.0,0.4,1,80,"[0.4, 0.1, 0.0, 0.1, 0.4]"
deepseek-chat,bimodal_5way,V9,0.02500000000000001,0.395,1,200,"[0.395, 0.125, 0.0, 0.095, 0.385]"
deepseek-chat,skewed_5way,V0,0.365,0.765,1,200,"[0.765, 0.02, 0.2, 0.01, 0.005]"
deepseek-chat,skewed_5way,V7,0.49499999999999994,0.995,1,200,"[0.995, 0.005, 0.0, 0.0, 0.0]"
deepseek-chat,skewed_5way,V8,0.0,0.5,1,100,"[0.5, 0.2, 0.1, 0.1, 0.1]"
deepseek-chat,skewed_5way,V9,0.03500000000000002,0.52,1,200,"[0.52, 0.19, 0.115, 0.095, 0.08]"
